employee_id,store_id,employee_name,email,position,salary,hire_date,is_pharmacist
1,4,Staff_Member_1,staff_member_1@company.com,Sales Associate,8830.5,2020-05-06,0
2,9,Staff_Member_2,staff_member_2@company.com,Inventory Specialist,6570.51,2024-05-27,0
3,1,Staff_Member_3,staff_member_3@company.com,Inventory Specialist,6690.47,2023-12-03,0
4,1,Staff_Member_4,staff_member_4@company.com,Sales Associate,4809.3,2019-10-13,1
5,7,Staff_Member_5,staff_member_5@company.com,Sales Associate,8930.54,2018-01-04,0
6,9,Staff_Member_6,staff_member_6@company.com,Inventory Specialist,5889.7,2020-04-29,0
7,7,Staff_Member_7,staff_member_7@company.com,Inventory Specialist,5187.55,2018-02-08,0
8,2,Staff_Member_8,staff_member_8@company.com,Store Manager,7443.98,2023-10-22,0
9,8,Staff_Member_9,staff_member_9@company.com,Inventory Specialist,9289.79,2024-08-22,1
10,2,Staff_Member_10,staff_member_10@company.com,Pharmacist,6057.5,2018-11-11,1
11,2,Staff_Member_11,staff_member_11@company.com,Sales Associate,9392.78,2022-06-02,0
12,11,Staff_Member_12,staff_member_12@company.com,Sales Associate,7381.54,2018-10-30,0
13,2,Staff_Member_13,staff_member_13@company.com,Technician,6822.72,2020-10-11,0
14,3,Staff_Member_14,staff_member_14@company.com,Sales Associate,9299.02,2024-05-28,0
15,10,Staff_Member_15,staff_member_15@company.com,Technician,8128.03,2021-04-14,0
16,10,Staff_Member_16,staff_member_16@company.com,Technician,6188.24,2024-09-23,0
17,1,Staff_Member_17,staff_member_17@company.com,Technician,3545.88,2021-10-25,0
18,12,Staff_Member_18,staff_member_18@company.com,Pharmacist,9428.81,2022-02-14,0
19,7,Staff_Member_19,staff_member_19@company.com,Sales Associate,7839.49,2025-01-22,0
20,5,Staff_Member_20,staff_member_20@company.com,Pharmacist,4049.85,2020-03-05,0
21,3,Staff_Member_21,staff_member_21@company.com,Pharmacist,7029.2,2025-10-08,0
22,5,Staff_Member_22,staff_member_22@company.com,Pharmacist,5459.16,2020-02-12,0
23,2,Staff_Member_23,staff_member_23@company.com,Store Manager,7658.69,2022-06-25,1
24,9,Staff_Member_24,staff_member_24@company.com,Technician,6496.81,2021-04-02,0
25,9,Staff_Member_25,staff_member_25@company.com,Technician,7238.04,2024-12-04,0
26,2,Staff_Member_26,staff_member_26@company.com,Technician,4882.73,2023-05-15,0
27,9,Staff_Member_27,staff_member_27@company.com,Technician,3690.0,2020-11-23,0
28,2,Staff_Member_28,staff_member_28@company.com,Store Manager,6241.74,2022-02-02,1
29,1,Staff_Member_29,staff_member_29@company.com,Technician,3896.76,2019-01-17,1
30,8,Staff_Member_30,staff_member_30@company.com,Technician,6981.33,2025-02-03,0
31,4,Staff_Member_31,staff_member_31@company.com,Store Manager,4546.77,2025-09-29,0
32,2,Staff_Member_32,staff_member_32@company.com,Inventory Specialist,6029.94,2020-06-28,1
33,10,Staff_Member_33,staff_member_33@company.com,Store Manager,9799.85,2022-04-10,0
34,4,Staff_Member_34,staff_member_34@company.com,Store Manager,3508.47,2024-01-11,1
35,2,Staff_Member_35,staff_member_35@company.com,Sales Associate,6135.14,2021-06-20,0
36,12,Staff_Member_36,staff_member_36@company.com,Sales Associate,7766.53,2025-10-03,1
37,9,Staff_Member_37,staff_member_37@company.com,Technician,7795.47,2021-12-11,0
38,10,Staff_Member_38,staff_member_38@company.com,Inventory Specialist,5052.66,2017-12-25,1
39,10,Staff_Member_39,staff_member_39@company.com,Store Manager,8375.98,2021-08-11,0
40,5,Staff_Member_40,staff_member_40@company.com,Inventory Specialist,6272.14,2017-10-09,0
41,7,Staff_Member_41,staff_member_41@company.com,Store Manager,8550.94,2021-11-15,1
42,4,Staff_Member_42,staff_member_42@company.com,Technician,7007.24,2025-02-17,0
43,2,Staff_Member_43,staff_member_43@company.com,Technician,3793.76,2020-11-25,0
44,11,Staff_Member_44,staff_member_44@company.com,Store Manager,7031.42,2022-02-10,0
45,2,Staff_Member_45,staff_member_45@company.com,Store Manager,5965.62,2024-02-11,0
46,3,Staff_Member_46,staff_member_46@company.com,Pharmacist,6660.27,2020-02-05,1
47,5,Staff_Member_47,staff_member_47@company.com,Inventory Specialist,9747.92,2018-04-23,0
48,1,Staff_Member_48,staff_member_48@company.com,Technician,7742.84,2022-11-15,0
49,6,Staff_Member_49,staff_member_49@company.com,Store Manager,4942.67,2021-05-01,1
50,1,Staff_Member_50,staff_member_50@company.com,Inventory Specialist,8427.1,2022-03-12,1
51,9,Staff_Member_51,staff_member_51@company.com,Store Manager,4398.18,2023-01-22,0
52,9,Staff_Member_52,staff_member_52@company.com,Pharmacist,7526.84,2025-01-04,0
53,3,Staff_Member_53,staff_member_53@company.com,Technician,4826.04,2025-02-27,0
54,1,Staff_Member_54,staff_member_54@company.com,Inventory Specialist,5880.94,2020-03-31,0
55,10,Staff_Member_55,staff_member_55@company.com,Technician,8162.43,2024-10-26,0
56,4,Staff_Member_56,staff_member_56@company.com,Inventory Specialist,3515.01,2020-02-03,0
57,8,Staff_Member_57,staff_member_57@company.com,Inventory Specialist,4165.38,2020-06-30,1
58,1,Staff_Member_58,staff_member_58@company.com,Pharmacist,6294.37,2024-08-26,0
59,1,Staff_Member_59,staff_member_59@company.com,Inventory Specialist,5001.62,2024-09-06,1
60,12,Staff_Member_60,staff_member_60@company.com,Store Manager,5355.03,2024-06-18,1
61,9,Staff_Member_61,staff_member_61@company.com,Pharmacist,8773.88,2018-08-03,1
62,7,Staff_Member_62,staff_member_62@company.com,Inventory Specialist,6196.87,2024-01-16,0
63,11,Staff_Member_63,staff_member_63@company.com,Inventory Specialist,8834.14,2025-11-18,0
64,11,Staff_Member_64,staff_member_64@company.com,Inventory Specialist,7514.8,2024-10-31,0
65,9,Staff_Member_65,staff_member_65@company.com,Sales Associate,7630.02,2020-05-06,0
66,6,Staff_Member_66,staff_member_66@company.com,Technician,4187.4,2019-06-21,0
67,10,Staff_Member_67,staff_member_67@company.com,Technician,7317.51,2017-10-19,0
68,1,Staff_Member_68,staff_member_68@company.com,Store Manager,7284.13,2023-05-20,0
69,2,Staff_Member_69,staff_member_69@company.com,Pharmacist,9944.97,2025-02-26,0
70,4,Staff_Member_70,staff_member_70@company.com,Inventory Specialist,3789.46,2018-04-24,0
71,10,Staff_Member_71,staff_member_71@company.com,Store Manager,8330.81,2022-05-09,0
72,6,Staff_Member_72,staff_member_72@company.com,Store Manager,6103.59,2023-09-04,1
73,2,Staff_Member_73,staff_member_73@company.com,Technician,4915.59,2022-09-13,0
